Name	Tags	Image	Description
Peace & Love	PeaceAndLove, Iceberg, Layer1	https://www.billboard.com/wp-content/uploads/media/ringo-starr-peace-portrait-billboard-2016-1548.jpg	In the summer of 2020 Ethan and Hila watched a video made by Ringo Starr. The video declared that after the 20th of October he would not be accepting any more fan mail. He ushered his fans please, do not send any fan mail to ANY address. He has TOO MUCH to do. No more fanmail. Anyway, peace and love, peace and love. /n  Ethan embraced the peace and love attitude so much that he memorized the entire video and re-enacted it word-for-word! This all led to it becoming a staple on the show and among fans, even all these years later.
Frenemies	Frenemies, Iceberg, Layer1	https://junkee.syd1.cdn.digitaloceanspaces.com/wp-content/uploads/2021/04/frenemies.jpg	A web show hosted by Ethan Klein and Trisha Paytas - It ran for 39 episodes from Septemper 15, 2020 - June 8, 2021 before its inevitable crash and burned. There's simply too much to cover in-depth here, and this will eventually be worthy of it's own page. For now, I'm sure you know how the rest goes.
Wikifeet	Iceberg, Layer4, FootSoldiers	https://h3out.com/wp-content/uploads/2020/05/85993e3fa366120a2f2b7ed718375dd5-1024x458.jpg	In the March of 2020 Ethan would host a segment on the show about wikifeet.com, a popular website that hosts feet pictures of celebrities. Enmasse, H3 fans began giving Ethan's feet a 5-star rating, leading to Ethan being #1 on the site. However, disaster would soon strike.../n   Mods of WikiFeet began to catch wind of these shenanigans and, without warning, Ethan would be banned from the site entirely. His page? Gone. Deleted! In retaliation, Ethan went undercover as Ethan Kleinschroth and sent word to his fans to boost him again. Against all odds, Ethan Kleinschroth would reach and all time high score of 7.42 out of 5 before once again being banned from the site. /n   The name Foot Soldiers became a staple to name members of the fandom, and are still echoed across these dusty halls to this day.
FAMILY	Iceberg, FAMILY, Layer3	https://static1.srcdn.com/wordpress/wp-content/uploads/2021/11/Vin-Diesel-look-a-likes-family.jpg	A video of Vin Diesel lookalikes repeatedly saying 'FAMILY' surfaced and was watched on the Pod. After this the crew and chat began chanting 'FAMILY' throughout the show. While it's not said much these days, the occassional mention will still rear it's head from time-to-time.
Uncle Gabe	Iceberg, Layer1, UncleGabe	https://image.mux.com/HvSmr3iX3vntGhZemUwzAQvgl66TV013CvJjZheoJNog/thumbnail.jpg?height=650	Uncle Gabe (Previously known as White Claw Gabe) is a famous Tik Tok personality that LOVES FRIDAY BABY!!! Ethan started watching his clips on the show and led to Gabe calling in one fateful day. The call went so well that this eventually led to him calling in every Friday, and he has been a staple on (most) Friday shows ever since!
H2.9	Iceberg, Layer4, H2.9	https://i.ytimg.com/vi/z1d3LJ9dT6I/maxresdefault.jpg	For a time there was a running joke on the show that they were going to hit 3 million subscribers this episode. Fans would subscribe during the episode, getting them over 3 million subs, and then unsub, dropping them back down to 2.9m. Viewers started calling it the H2.9 Podcast because of this. However, all good things must come to an end, and a true 3 million would never be achieved. /n   These days, 3 million is just a pipe dream.
The Jersey Outlaw	Iceberg, TheJerseyOutlaw, Layer1	https://bloximages.chicago2.vip.townnews.com/pressofatlanticcity.com/content/tncms/assets/v3/editorial/1/a6/1a632410-0ecc-11e5-b956-bb096e606be1/557721138f97e.image.jpg	The Jersey Outlaw, AKA Jimmie Lee, AKA James Weiner, is a crazy dentist gone comedian who has been a staple on the show over the years. Before the Podcast a video was made about him on the Ethan and Hila YouTube channel. Eventually he was brought onto the Podcast as a guest, with the episode receiving a lot of criticism - Some even considering it the worst episode of all time. /n   However, for a time Ethan had a soft spot for Jimmie, and years later found himself reaaching out and inviting him back onto the show. For a time he was one of the most prominent and frequent guests on the show! While his jokes weren't particularly funny, the interactions from the crew led to some of the funniest moments the show has to offer. /n  To no one's surprise, Jimmie's personality would eventually get the best of him, and controvery struck when Jimmie was called out for various sexual harrassment controversies. The crew confronted him when he broke into the studio, uninvited, and since then Jimmie has been banned from the show. At this point, I think it's safe to say that Jimmie will not be coming back.
Pride Minute	Iceberg, Layer3, PrideMinute	https://i.ytimg.com/vi/Nrk1GL921UU/maxresdefault.jpg	Jordan Peterson once said that Pride Month is, quite simple, TOO DAMN LONG. And so, Ethan and crew created Pride MINUTE so that we get to be ourselves for absolutely no more than 60 seconds! Like many goofs on the show, it started strong and prominent, but as time has passed we've seen less and less Pride Minutes over time.
The Hairline King	Iceberg, Layer2, HairlineKing	https://image.tmdb.org/t/p/w235_and_h235_face/nkNxzM4AYcQQswu3y7oOY5Kovfa.jpg	Ethan's hairline has always been prominent and glowing, and today he is the one true Hairline King! /n  However, Ethan's hairline was discussed much prior to him becoming The King, going all the way back to 2017 when he and Jackfilms talked about the curse that is his hairline. And in 2019, an AI would dub the only redeeming quality on Ethan's face to be his hairline! /n  Some believe Ethan absorbs the hairline of his enemies, while others are not convinced he is the true Hairline King at all.
The Prolapsed Anus	Iceberg, Layer2, Prolapse	https://i.ytimg.com/vi/fGD_aFm74Ek/maxresdefault.jpg	Over the summer of 2022 Howie Mandel posted a picture of a mans fully prolapsed anus on TikTok for the world to see. Ethan LOVED this and ran with it to the end of the earth. He showed it to all his guests, and eventually confronted Howie about it on Howies podcast. When Howie came on the H3 Podcast, HungerFF called in and prolapsed LIVE ON AIR for Howie - Much to his surprise! /n  Since that fateful day Ethan has showed a custom-made HungerFF prolapse video to various guests on the show, to varying levels of enjoyment. Perhaps in the most unexpected twist of all, Howie has FULLY EMBRACED the Prolapse, and he himself often shows the video to guests on his show! What does the future hold for the prolapse? Only time will tell.
Lovebot	Iceberg, Layer3, LoveBot	https://i.ytimg.com/vi/TEEHnZ1U0r4/maxresdefault.jpg	Lovebot was created so that Love, who once lived in Sweden, could be apart of the show. During this time, Lovebot was constantly used as a gag in all sorts of ways. Eventually AB beat the shit out of him so badly that the little guy had to be retired. Everyone saw it. /n  Eventually Lovebot was ressurected by Dan, sporting a new, human-like, body to impress Pokimane!  Naturally, she was was very impressed, and for a time she even had a picture of love in her background. /n  Since then, Love has officially moved to America and there is no sign of Lovebot re-emerging anytime soon.
The Steamy Awards	Iceberg, Layer3, Steamys	https://i.ytimg.com/vi/tMg0kf-Q0A8/maxresdefault.jpg	The Steamy awards was an annual episode that was meant to be a parody of the Streamy Awards, always bringing in special guests to co-host. As of 2024 there was no Streamy Awards, so it is safe to assume that these episodes have run their course, at least for now. 
Triller Lawsuits	Iceberg, Layer2, Triller	https://i0.wp.com/musically.com/wp-content/uploads/2018/07/triller.png	In April of 2021 Jake Paul had his fight against Ben Askren, to which Ethan joked about pirating the fight on Instagram. He then showed a short clip of the fight during a podcast episode.Triller responded to this by suing Ethan for "rebroadcasting the event". A few months later, Triller sued Hila, and a few months after that a third lawsuit was filed. /n   Since this, Ethan has relentelessly gone after Ryan Kavanaugh, exposing all his scandals, and generally just being crazier than he is.
Dans Sexy Mouse	Iceberg, Layer4, DansMouse	https://c1.neweggimages.com/productimage/nb640/26-436-032_R01.jpg	For a time, Dan's mouse had a voice - And a sexy voice, at that! Many in the chat found themselves thirsty for more, and for awhile the crew played the gag out. However, Dan's disdain for his sexy mouse began to grow. Jealousy got the best of him, knowing he could never have a voice as sexy as his mouse. And thus, he took control of the situation, and pulled an Ursula - Silencing his mouse once and for all... Or so we thought!
Five Percent	Iceberg, Layer4, FivePercent	https://tvovermind.com/wp-content/uploads/2021/06/Kalli-Metz.jpg	On the final episode of Frenemies Trisha complained about how Ethan took 5% of payment for the show. This was to pay for production costs, in which Ethan and Crew were handling everything. After Frenemies officially ended, Trisha's sister would make a video talking about him taking that 5%. This has led to soundbites of various other people also saying 5%, such as Joe Rogan.
The Scorpion Chair	Iceberg, Layer3, ScorpionChair	https://cdn.vox-cdn.com/thumbor/yAMcMfm8qu9zsS2OFGIT4YG4q38=/0x0:1920x1080/2000x1333/filters:focal(960x540:961x541)/cdn.vox-cdn.com/uploads/chorus_asset/file/21878541/scorpion_chair.jpg	In 2021 the Podcast moved to a new studio. Dan used this as leverage to try and get a newer, more badass, chair. There were various iterations of what the chair would be, but in the end it was the STEEL STRIKER. A chair forged in the deepest recesses of a neutron star. Which sounds dope and all, but turns out it was uncomfortable as hell. All that said, Dan stuck with it for TWO LONG YEARS - Kudo's to him. /n   Eventually the Back-chelor segment was done to save Dan from a lifetime of backpain! In this segment Dan got to choose what his new chair would be, and he landed on a recreation of Captain Pickards chair from Star Trek. Sounds cool right? Well... I'll let you find out how it ended.
WAN	Iceberg, Layer5, WAN	https://i.insider.com/6362955db1760d0019d98dda?width=700	In July 2022 Ethan would watch some of Jidion's awful prank videos, leading to a response from Jidion himself. In the response Jidion was highly critical of Ethan, however, he took a liking to Dan and called him W DAN, or WAN for short.
FLOCKA	Iceberg, Layer5, FLOCKA	https://static.wikia.nocookie.net/h3podcast/images/7/7a/AB_ayad.png	One day Zach was unable to make it to the show, and thus AB took over on the soundboard. However, not wanting to truly commit to competing with Zach, AB only used a single soundbite... FLOCKA!
Ethan is 42	Iceberg, Layer3, EthansBirthday	https://pbs.twimg.com/media/E4rzUXpWEAMfmm9.jpg	Ethan was in denial on his 40th birthday, believing he was only 37. He is still in denial to this day - Age comes for all of us.
Majority Female Audience	Iceberg, Layer3, FemaleAudience	https://womenentrepreneursgrowglobal.org/wp-content/uploads/2010/01/womenworldwidewegg.jpg	Back in the day the show was watched primarily by men. However, after Frenemies there was an uptick in women viewers. As of September 2022 the audience was 60% women.
Shoutout to His Family	Iceberg, Layer4, Shoutouttohisfamily	https://i.ytimg.com/vi/q5ZgEtgxxg0/maxresdefault.jpg	In May of 2020 a famous DJ named David Guetta made a tribute song to George Floyd's family, starting the song by saying 'shoutout to his family'. They watched it on the podcast and it became a very popular soundbite, eventually winning the first ever soundbite tournament!
AUDIO AUDIO AUDIO	Iceberg, Layer3, AUDIOAUDIOAUDIO	https://www.24-7pressrelease.com/assets/attachments/050/press_release_distribution_0500031_190169.jpg	A popular soundbite that originated from when Jimmie Lee, Zach, and Cameron went out on the streets of LA and started having audio problems. A similar soundbite has spawned from Jimmy saying this on a Zoom call with minimal service.
AB Boxing Matches	Iceberg, Layer3, ABBoxingMatches	https://mlpnk72yciwc.i.optimole.com/cqhiHLc.IIZS~2ef73/w:376/h:250/q:75/https://bleedingcool.com/wp-content/uploads/2023/04/Creator-Clash-2-Nathan-Dad-Barnett-AB-Starkilla-Ayad.jpg	AB fought Hundar of Muscle party in Creator Clash 2022. Both Hundar and Luckyboy (ABs boxing coach) were guests on the Podcast to talk about his fight. /n  AB once again fought in Creator Clash 2023, this time going up against the monster that is Dad. AB once again lost, but he put up a hell of a fight! The aftermath of the Dad fight was less amicable than the Hundar fight, and beef ensued with Dad, Ethan, and AB. /n  Lena has since gotten involved with boxing herself, and will be fighting in Creator Clash 2025!
