title	sound	episodetype	episodenumber	episodedate	time	person	timestampurl	image
Who you kiddin eh	AB_WhoYouKiddingEh.mp3	ContentCourt	5	11-05-2020	207	AB	https://youtu.be/RdC75IoAQoo&t=207	
You know the age where we burn the witch? ...	AbaAndPreach_BurnTheWitch.mp3	AfterDark	108	06-02-2023	12939	Aba and Preach	https://www.youtube.com/watch?v=5tqh5bW7o7U&t=12939	
The omelette of KNOWLEDGE	AbaAndPreach_OmeletteOfKnowledge.mp3	AfterDark	108	06-02-2023	12968	Aba and Preach	https://www.youtube.com/watch?v=5tqh5bW7o7U&t=12968	
Some people are not motivated by growth	AdamGrant_SomePeopleAreNotMotivatedByGrowth.mp3	H3TV	98	11-13-2023	1017	Adam Grant	https://www.youtube.com/watch?v=v97xGpOpzuM&t=1017	
How Dare You	AdamMcentire_HowDareYou.mp3	Unknown	1	05-05-2015	0	Adam McIntyre	https://youtu.be/zOYZ3XMGjUM&t=0	
Im 21 FUCK YOU	AdinRoss_21FUCKYOU.mp3	H3TV	46	08-08-2022	9303	Adin Ross	https://youtu.be/XTU2hHPXVos&t=9303	
Youre a dick rider a dick sucker...	AdinRoss_YoureADickSucker.mp3	H3TV	46	08-08-2022	8933	Adin Ross	https://youtu.be/XTU2hHPXVos&t=8933	
PUSSY!	Adin Ross_Pussy.mp3	H3TV	46	08-08-2022	8933	Adin Ross	https://youtu.be/XTU2hHPXVos&t=8933	
It's Just a Fact in my Opinion	Adin_Ross_its_just_a_fact_in_my_opinion.mp3	Unknown	1	05-05-2015	0	Adin Ross	https://youtu.be/zOYZ3XMGjUM&t=0	
Who Would be Expecting Shrek?	AlPacino_WhoWouldBeExpectingShrek.mp3	Unknown	1	05-05-2015	0	Al Pacino	https://youtu.be/zOYZ3XMGjUM&t=0	
I Pooped My Pants	AlRoker_IPoopedMyPants.mp3	H3TV	7	09-07-2021	523	Al Roker	https://youtu.be/d9Y0O-FtKvA&t=523	
Suckin a ding dong	AlexJones_SuckinADingDong.mp3	AfterDark	37	05-21-2021	7361	Alex Jones	https://youtu.be/SaC97huq9Ss&t=7361	
Turned the Friggin Frogs Gay	AlexJones_TheyTurnTheFreakingFrogsGay.mp3	Podcast	243	04-15-2021	398	Alex Jones	https://youtu.be/0Os_vIpQXg4&t=398	
I bet he's got some big old bitch tits	AlexJones_IBetHesGotSomeBigOldBitchTits.mp3	Podcast	207	08-17-2020	4925	Alex Jones	https://youtu.be/TpimNx4PJoY&t=4925	
DESTROY THE CHILD!	AlexJones_DestroyTheChild.mp3	Podcast	77	08-11-2018	1593	Alex Jones	https://youtu.be/fA8eOB91-fY&t=1593	
Liberal Liberal Liberal!	AlexJones_LiberalSong.mp3	Unknown	1	05-05-2015	0	Alex Jones	https://youtu.be/zOYZ3XMGjUM&t=0	
Keemstar Shut Up	AlkiDavid_KeemstarSHUTUP.mp3	AfterDark	44	07-09-2021	7601	Alki David	https://www.youtube.com/watch?v=s2FpIS2ywlE&t=7601	
SHUT UP BITCH	AlkiDavid_ShutupBITCH.mp3	AfterDark	44	07-09-2021	7601	Alki David	https://www.youtube.com/watch?v=s2FpIS2ywlE&t=7601	
Im not gay no more!	AndrewCaldwel_ImNotGayNoMore.mp3	AfterDark	3	09-04-2020	7623	Andrew Caldwell	https://www.youtube.com/watch?v=2ujyWHUgcBI&t=7623	
I Do it With Everyone	AndrewCuomo_IDoItWithEveryone.mp3	OTR	12	09-23-2021	3143	Andrew Cuomo	https://www.youtube.com/watch?v=14GDTiQ-_pE&t=3143	
Thats the game	AndrewTate_ThatsTheGame.mp3	OTR	47	08-31-2022	2351	Andrew Tate	https://www.youtube.com/watch?v=mRMb2YKOOrs&t=2351	
I have small dick energy	AndrewTate_SmallDickEnergy.mp3	Unknown	1	05-05-2015	0	Andrew Tate	https://youtu.be/zOYZ3XMGjUM&t=0	
No!!	AndrewTate_No.mp3	Unknown	1	05-05-2015	0	Andrew Tate	https://youtu.be/zOYZ3XMGjUM&t=0	
And obviously they were obviously Jewish	Anisa_AndObviouslyTheyWereJewish.mp3	Unknown	1	05-05-2015	0	Anisa	https://youtu.be/zOYZ3XMGjUM&t=0	
Chestnusts slurping oer open flile	Anuk_Chestnuts.mp3	OTR	58	01-25-2023	6358	Anuc	https://www.youtube.com/watch?v=y19qnDm2tDs&t=6358	
Angela Basset Did the Thing	ArianaDeBose_AngelaBassetDidTheThing.mp3	Unknown	1	05-05-2015	0	Ariana DeBose	https://youtu.be/zOYZ3XMGjUM&t=0	
Suck a fat donut	AustinMcBroom_SuckAFatDonut.mp3	H3TV	42	07-11-2022	3327	Austin McBroom	https://youtu.be/QpElkT_nkgY&t=3327	
Blood Boiling	AustinMcBroom_BloodBoiling.mp3	H3TV	2	07-24-2021	5550	Austin McBroom	https://www.youtube.com/watch?v=b9BRDiQPD-U&t=5550	
In Reality You Guys Got Scammed	AustinMcBroom_InRealityYouGuysGotScammed.mp3	OTR	3	07-01-2021	4010	Austin McBroom	https://www.youtube.com/watch?v=6kNZujESbNI&t=4010	
Im itching for that clout pill	AustinMcBroom_ImItchingForThatCloutPill.mp3	ContentCourt	5	11-05-2020	1200	Austin McBroom	https://youtu.be/RdC75IoAQoo&t=1200	
